ImageNo,RoiNo,RoiMean,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1567.876465,1070.457642,1898.547485,131701.625,202.467667,LACS,113.020157,-58.612823,4.730072,2.417252,101.032387,81.42028,0.194121,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245417166,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,9,110.55941,-70.348312,5.565592,244.686166,245.774141,111.174698,-67.308784,5.866826,251.029371,245.079595,111.763229,-64.476997,5.78843,256.954311,245.168336,112.346581,-61.704617,5.543345,262.762113,245.600208,113.003868,-58.625504,5.050815,269.221865,246.531397,113.615211,-55.735485,4.719401,275.279325,247.137202,114.250183,-52.777016,4.165445,281.489419,248.197361,114.968559,-49.461567,3.385362,288.455586,249.711874,115.499649,-47.077095,2.485463,293.480102,251.495568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,1736.397217,1312.825317,1989.435303,184058.1094,126.140419,LACS,111.332893,-59.31461,4.946312,2.509682,104.848534,95.973236,0.228818,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245417167,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,9,108.773788,-71.564354,5.596076,241.505097,245.622098,109.449738,-68.225807,5.923914,248.472447,244.865433,110.011253,-65.485802,6.034296,254.197424,244.56963,110.684975,-62.262836,5.85377,260.944698,244.857742,111.324089,-59.254765,5.443238,267.252407,245.622689,112.019005,-56.006939,4.885695,274.067715,246.682848,112.606079,-53.264462,4.408311,279.822864,247.591556,113.233154,-50.378719,3.686952,285.888015,248.996622,113.893944,-47.387764,2.684571,292.185075,250.974954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1774.589966,1403.713257,2075.273926,251991.7813,128.618103,LACS,109.811089,-59.264824,4.92453,2.977566,124.33696,139.822662,0.333363,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245417168,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,11,106.879578,-73.365395,5.337927,237.113009,246.076452,107.481583,-70.352402,5.822216,243.392913,245.007419,107.964279,-67.993126,5.936162,248.321588,244.713982,108.607399,-64.859421,6.040793,254.870081,244.419953,109.116486,-62.416508,5.940949,259.982745,244.562531,109.757942,-59.381115,5.607734,266.344291,245.168336,110.312119,-56.782234,5.206025,271.795945,245.925592,111.009781,-53.552814,4.494851,278.579307,247.301077,111.619057,-50.696548,4.048385,284.571097,248.143525,112.234009,-47.861183,3.3672,290.529168,249.467541,112.939705,-44.652344,2.367606,297.281766,251.434633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1496.487915,40.394627,2125.767334,408541.1875,467.411224,LACS,108.745064,-57.066216,4.6275,3.337091,138.496765,253.306244,0.603929,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245418169,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,10,105.379059,-73.205406,5.351068,236.810107,245.925001,106.116455,-69.519608,5.920838,244.493302,244.663695,106.828522,-66.001495,6.271855,251.835139,243.854969,107.675987,-61.929863,6.129595,260.355457,244.0431,108.430008,-58.372154,5.68801,267.813841,244.857742,109.17337,-54.894184,5.109716,275.111309,245.954581,109.841225,-51.780178,4.538234,281.647378,247.046687,110.574837,-48.394337,3.741978,288.761447,248.592555,111.319214,-44.967113,2.893828,295.964257,250.243728,112.111931,-41.597843,0.629888,303.106133,254.797916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,1554.041504,328.206329,2019.731323,442901.8438,307.370422,LACS,107.125443,-57.463928,4.731,3.472955,144.406754,256.437134,0.611394,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245418170,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,11,103.629257,-74.279083,5.231415,233.933124,246.077044,104.296623,-70.936295,5.781186,240.899884,244.865433,104.954277,-67.694466,6.069229,247.666679,244.192777,105.645554,-64.353996,6.046594,254.652962,244.154322,106.325455,-61.082832,5.954675,261.497258,244.259628,107.099098,-57.394264,5.687269,269.221865,244.713982,107.854111,-53.855598,5.129868,276.645345,245.76645,108.575363,-50.492725,4.512296,283.703803,246.946705,109.342316,-46.931511,3.78401,291.18171,248.348813,110.006035,-43.928623,2.770805,297.504209,250.349035,110.651756,-41.153812,1.073675,303.378861,253.756688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1603.909302,1030.062988,1974.287354,373710.875,180.325653,LACS,105.705025,-56.932026,4.667944,3.36807,140.194855,226.880478,0.540925,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245418171,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,11,102.286751,-73.404907,4.999864,235.134086,246.408935,102.842453,-70.632622,5.403426,240.914082,245.511467,103.435486,-67.659767,5.903512,247.109386,244.411079,104.267181,-63.629063,5.932944,255.536822,244.248387,105.133484,-59.484852,5.700588,264.212732,244.619325,105.778732,-56.421028,5.416385,270.631663,245.123965,106.502373,-53.00322,5.009151,277.796019,245.871756,107.172951,-49.869942,4.467457,284.371135,246.902335,107.81076,-46.887539,3.96285,290.629149,247.860737,108.423355,-44.113068,3.041672,296.470082,249.678153,109.101738,-41.146202,1.509586,302.739335,252.742675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1412.03894,0,2009.63269,554931.3125,464.958618,LACS,104.264969,-56.543785,4.368965,3.709289,153.267899,352.542786,0.840527,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245420172,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,12,100.512245,-74.701225,4.380105,231.812806,247.591556,101.109833,-71.698761,4.917058,238.068454,246.414851,101.689568,-68.74147,5.65376,244.221162,244.829937,102.416183,-65.198738,5.782769,251.623936,244.475564,103.318092,-60.905464,5.437718,260.616356,245.073679,104.025497,-57.490986,5.395404,267.758231,245.073679,104.736931,-54.072681,5.277129,274.911345,245.229271,105.422089,-50.835068,4.89926,281.697665,245.921451,106.070175,-47.831444,4.256403,288.005965,247.162642,106.652145,-45.138042,3.660694,293.663499,248.315091,107.311829,-42.190788,2.472377,299.877145,250.675601,107.915016,-39.720829,0.294922,305.134751,255.075379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,1635.395996,610.96875,2065.175293,506972.75,226.951019,LACS,102.665863,-56.854004,4.415273,3.539709,146.368362,294.554962,0.702274,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245421173,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,13,99.128082,-74.04039,4.09144,232.570064,248.04591,99.822113,-70.56797,4.644229,239.807778,246.824834,100.259346,-68.291336,5.424292,244.535306,245.168336,100.730812,-65.970062,5.617228,249.381155,244.713982,101.365616,-62.96661,5.285563,255.675849,245.31742,102.005173,-59.895042,5.172441,262.103655,245.471238,102.662392,-56.707603,5.206836,268.767511,245.319787,103.274551,-53.737675,5.243935,274.976422,245.168336,103.888847,-50.848591,4.838629,281.035066,245.925592,104.478699,-48.10791,4.287372,286.789622,246.985751,105.113617,-45.149715,3.733411,292.999125,248.04591,105.742683,-42.305511,2.76374,298.987958,249.960941,106.184311,-40.513649,1.089467,302.806188,253.346705,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,1127.621948,5.049328,2095.471191,681083.625,700.79187,LACS,101.435501,-55.53207,3.723398,3.960824,159.981628,578.583069,1.379449,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245421174,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,16,97.775864,-73.269676,3.58607,233.566329,248.941602,98.03833,-71.928123,3.932595,236.356936,248.197361,98.397156,-70.028992,4.721952,240.294669,246.531397,98.832436,-67.810638,5.265169,244.910384,245.361791,99.322327,-65.457054,5.182596,249.835509,245.471238,99.865265,-62.851601,5.076404,255.288347,245.622689,100.474586,-59.880161,5.18738,261.497258,245.319787,101.116814,-56.765118,5.22268,268.009664,245.168336,101.776199,-53.573502,5.22643,274.683577,245.079595,102.300819,-51.100201,4.909413,279.869008,245.666469,102.8675,-48.451759,4.454556,285.42656,246.531397,103.425797,-45.860405,3.919577,290.868159,247.561976,103.984863,-43.296452,3.233678,296.258878,248.902556,104.464653,-41.170746,2.282724,300.744439,250.797472,104.972099,-39.160145,0.124527,305.040685,255.169445,105.353287,-37.908485,-2.751422,307.780415,261.031674,,,,,,,,,,
18,0,1301.104492,25.246641,2130.81665,684380.9375,613.255859,LACS,99.968086,-55.196484,3.81108,3.795768,153.739258,498.291992,1.188021,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245422175,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,16,96.416107,-72.50753,3.215903,234.53893,249.560423,96.840546,-70.322044,3.85421,239.081876,248.19677,97.053078,-69.068291,4.946873,241.65714,245.925592,97.428932,-67.178162,5.292951,245.594873,245.168336,97.916687,-64.851082,5.131904,250.467936,245.439291,98.415428,-62.477394,4.939098,255.439798,245.774141,99.042587,-59.435047,4.975292,261.800161,245.622689,99.711975,-56.173691,5.082675,268.615468,245.319787,100.243507,-53.562508,5.272018,274.067715,244.865433,100.747063,-51.177563,5.02076,279.065608,245.319787,101.366974,-48.291779,4.467704,285.123658,246.379946,101.92688,-45.695625,3.91823,290.575904,247.440105,102.420357,-43.465736,3.151599,295.271485,248.954618,102.878914,-41.397835,2.418731,299.626893,250.404054,103.374863,-39.330917,0.803405,304.017796,253.662031,103.705544,-38.208508,-1.514099,306.463498,258.383052,,,,,,,,,,
