ImageNo,RoiNo,RoiMean,RoiMedian,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,15952.35645,16233.31348,7505.127441,19439.20703,989046.125,2028.946899,MACS,-48.482346,-51.20187,-3.581912,2.191003,102.025452,68.013405,0.130182,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859562490,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,7,-45.990948,-62.529152,-1.633439,141.298333,194.302909,-46.869083,-58.52784,-2.161219,150.670262,195.442148,-47.750381,-54.513866,-2.722697,160.072545,196.658222,-48.711231,-50.138893,-3.358207,170.320957,198.037451,-49.452694,-46.775158,-4.070952,178.205519,199.61019,-50.025822,-44.193176,-4.947693,184.26502,201.570896,-50.576263,-41.734993,-6.179171,190.042795,204.344532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,19244.14258,19643.05078,13620.41699,23497.53516,1828193.5,2179.83252,MACS,-50.244068,-52.497711,-3.332232,2.438078,113.620995,80.075928,0.15327,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859572491,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,8,-47.574314,-64.642685,-1.366701,137.344669,193.775501,-48.263165,-61.495712,-1.633819,144.712257,194.333263,-49.072346,-57.80476,-2.051004,153.35568,195.224924,-49.843807,-54.296268,-2.636161,161.576037,196.503604,-50.789051,-50.003387,-3.46072,171.636631,198.316333,-51.540699,-46.597443,-4.255117,179.621744,200.074992,-52.175491,-43.730465,-5.0966,186.347143,201.950327,-52.693657,-41.410969,-6.157742,191.796713,204.336943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,19072.61719,19272.42578,11452.26856,24609.40625,2365004.5,2373.266113,MACS,-51.905491,-54.232231,-2.692454,2.9083,135.52832,116.647537,0.223271,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859582492,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,9,-48.834503,-68.234642,-1.011507,129.930601,193.070709,-49.463852,-65.338493,-0.876731,136.702483,192.714044,-50.117233,-62.34771,-1.024425,143.702024,193.001463,-50.949505,-58.553406,-1.489257,152.588282,194.000313,-51.857273,-54.427052,-2.214657,162.257114,195.589177,-52.924026,-49.587402,-3.23662,173.601132,197.843942,-53.667702,-46.213531,-3.94944,181.509409,199.416681,-54.365707,-43.055191,-4.76899,188.915888,201.236997,-54.969635,-40.332634,-5.660453,195.304545,203.229007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,19456.79883,19661.58203,11878.48633,23923.75195,3074174.25,2245.9646,MACS,-54.10041,-53.538078,-2.412941,3.441588,160.27182,153.520462,0.293848,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859592493,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,11,-50.453506,-70.180374,-0.668398,126.36775,192.365917,-51.063835,-67.366982,-0.451673,132.944226,191.823332,-51.718098,-64.364799,-0.467067,139.967481,191.808154,-52.385242,-61.322491,-0.824711,147.092234,192.574603,-53.189186,-57.667202,-1.45162,155.656924,193.946244,-54.048538,-53.761093,-2.141371,164.809733,195.457325,-54.954399,-49.645164,-2.896989,174.454851,197.115436,-55.846359,-45.584545,-3.499483,183.967169,198.42447,-56.57938,-42.24509,-3.951437,191.789126,199.401503,-57.151001,-39.653839,-4.536504,197.863802,200.695361,-57.714958,-37.127254,-5.653118,203.799044,203.205292,,,,,,,,,,,,,,,,,,,,
11,0,18675.01758,19402.14453,7227.160156,24609.40625,5882630.5,3130.925049,MACS,-56.374039,-52.496571,-2.385207,3.909292,180.275421,289.753387,0.554606,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859602494,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,12,-52.132408,-71.847282,-0.255952,123.455622,191.49797,-52.623295,-69.562538,0.313658,128.787567,190.157633,-53.310413,-66.409996,0.290518,136.162744,190.157633,-54.068092,-62.961334,-0.232786,144.241764,191.295924,-55.035183,-58.576141,-1.200779,154.521479,193.434962,-56.033382,-54.038437,-1.993517,165.154064,195.170855,-56.934231,-49.941727,-2.680936,174.752703,196.673399,-57.965961,-45.238144,-3.257856,185.768515,197.913188,-58.76302,-41.604691,-3.70823,194.278189,198.881684,-59.477577,-38.349003,-4.142554,201.903788,199.819825,-59.943436,-36.258789,-5.008628,206.812666,201.764406,-60.201473,-35.170742,-6.745469,209.396589,205.716172,,,,,,,,,,,,,,,
12,0,19751.4082,19921.01758,11507.86231,27741.17578,4009535.75,2371.60376,MACS,-58.318573,-52.944996,-1.985446,3.928483,182.416504,204.452667,0.391335,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859612495,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,12,-54.060047,-72.344826,0.656272,123.267805,189.468017,-54.632923,-69.71022,0.748982,129.428804,189.211902,-55.308308,-66.627289,0.441668,136.647466,189.862625,-56.212009,-62.517139,-0.239621,146.277407,191.350941,-57.083744,-58.562111,-1.072074,155.547838,193.187383,-57.965229,-54.556141,-1.792859,164.934944,194.767711,-58.827713,-50.625118,-2.292727,174.141821,195.844344,-59.723228,-46.531654,-2.597499,183.724333,196.472301,-60.497643,-42.997574,-2.965809,191.999708,197.254876,-61.315746,-39.28672,-3.762438,200.698149,199.013536,-61.921638,-36.562119,-4.779243,207.094393,201.292015,-62.274632,-35.019047,-6.170005,210.735029,204.445081,,,,,,,,,,,,,,,
13,0,16786.34766,17530.49609,2724.083496,24090.5332,4716963.5,4308.294922,MACS,-60.333363,-53.077038,-1.696095,4.164227,192.556747,254.640381,0.487398,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859622496,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,13,-55.717377,-74.10038,1.255696,120.144144,188.174161,-56.4095,-70.92469,1.235711,127.573391,188.166571,-57.084141,-67.844963,0.932151,134.784463,188.808758,-57.896816,-64.157341,0.165986,143.427886,190.498171,-58.738232,-60.342609,-0.687166,152.370586,192.384285,-59.578796,-56.520157,-1.330382,161.326676,193.790396,-60.472527,-52.445019,-1.817536,170.870395,194.835536,-61.410076,-48.161564,-2.175365,180.898527,195.581589,-62.18055,-44.639896,-2.441494,189.142599,196.130814,-62.940731,-41.176964,-2.914689,197.25387,197.154327,-63.55621,-38.380711,-3.433203,203.806631,198.292618,-64.007721,-36.365932,-4.471775,208.542872,200.632755,-64.341026,-34.941212,-6.367127,211.917906,204.941186,,,,,,,,,,
14,0,15682.43848,17271.05859,908.027771,24275.8457,4594954.5,4974.253418,MACS,-62.087627,-54.388699,-1.114797,4.31703,199.773941,256.187836,0.49036,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859632497,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,13,-57.40144,-75.735954,1.806935,117.302212,186.98844,-58.108448,-72.481415,1.976431,124.911686,186.546405,-58.813244,-69.268829,1.573131,132.435789,187.414351,-59.676891,-65.358978,0.595349,141.603774,189.583744,-60.521004,-61.534714,-0.309035,150.569923,191.586788,-61.346901,-57.779541,-0.951757,159.368613,192.9929,-62.110889,-54.290936,-1.277136,167.536652,193.678117,-62.947411,-50.460842,-1.44802,176.500087,194.004461,-63.745087,-46.808456,-1.60872,185.047598,194.310497,-64.671204,-42.590385,-2.199086,194.927961,195.589177,-65.439316,-39.102692,-2.882035,203.101839,197.091721,-65.994026,-36.616276,-3.9581,208.942221,199.509641,-66.363304,-35.024071,-5.810269,212.708067,203.716575,,,,,,,,,,
15,0,11585.53027,12730.91992,240.905334,23145.44336,7936088.5,6943.161133,MACS,-64.058022,-54.735085,-1.016042,4.738649,215.69725,657.76532,1.259004,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859642498,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,15,-59.103767,-77.34877,1.256203,114.538061,188.32119,-59.460239,-75.66362,2.138965,118.460423,186.275112,-60.055138,-72.916321,2.440835,124.880383,185.539017,-60.739716,-69.793671,2.088823,132.192954,186.291238,-61.605026,-65.869247,1.23626,141.392242,188.174161,-62.452389,-62.037464,0.198551,150.378944,190.481837,-63.265106,-58.340687,-0.406093,159.040171,191.801902,-64.126396,-54.404194,-0.708598,168.255448,192.427307,-65.008507,-50.35807,-0.757122,177.721515,192.47033,-65.800682,-46.740326,-1.087121,186.191764,193.163942,-66.69062,-42.690113,-1.709753,195.680182,194.519184,-67.495293,-39.043343,-2.550317,204.229696,196.379341,-68.078194,-36.442257,-3.891575,210.344214,199.401503,-68.394005,-35.094395,-5.724942,213.538069,203.569545,-68.595268,-34.28376,-7.764765,215.479803,208.218515
16,0,14543.53809,16881.9043,389.154755,25535.96484,5017520.5,6245.581543,MACS,-65.940887,-55.437344,-0.089898,4.359636,201.759674,334.875702,0.640973,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859652499,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,13,-61.371052,-76.266571,2.543185,118.037357,185.408113,-61.921661,-73.715874,2.965557,123.994717,184.399871,-62.691734,-70.193535,2.744596,132.239357,184.84584,-63.455292,-66.740807,1.807993,140.33709,186.928773,-64.307442,-62.882961,0.844077,149.383124,189.067331,-65.220398,-58.73188,0.135098,159.109427,190.618251,-65.990334,-55.200195,0.094028,167.371906,190.652879,-66.818031,-51.397457,0.159766,176.266086,190.438814,-67.51564,-48.208004,-0.066094,183.732118,190.901571,-68.43644,-44.034985,-1.028645,193.515387,193.031717,-69.240227,-40.43261,-2.596191,201.97724,196.554341,-69.846153,-37.697479,-3.426072,208.393934,198.405371,-70.41716,-35.183117,-5.346011,214.318487,202.751725,,,,,,,,,,
