ImageNo,RoiNo,RoiMean,RoiMedian,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,1059.706055,1031.606812,879.152649,1295.86084,18015.00391,121.915016,LACS,125.607483,-47.441067,-7.944817,1.520834,63.786469,10.612903,0.025303,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342547821675,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,5,124.714256,-54.876999,-6.234917,272.469464,267.818318,125.181763,-50.912769,-6.952817,280.679778,269.076459,125.597366,-47.476768,-7.806668,287.810796,270.641516,126.058228,-43.708153,-8.855226,295.639216,272.587689,126.485817,-40.230602,-9.874439,302.866293,274.489346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,1271.931152,1295.86084,813.089111,1605.851074,100482.5625,173.284256,LACS,124.045372,-47.945267,-8.028832,2.093411,87.413254,64.321762,0.153355,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342547861679,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,7,122.876266,-57.860172,-6.237172,265.984307,267.855025,123.145256,-55.378685,-6.159298,271.090276,267.562161,123.553703,-51.9062,-6.764464,278.280644,268.615687,124.037186,-47.873055,-7.669786,286.644811,270.254157,124.484604,-44.190823,-8.629951,294.289704,272.023831,124.928688,-40.560257,-9.642497,301.83151,273.90362,125.291878,-37.847713,-11.098631,307.510708,276.741656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,869.69812,1006.197815,0,1702.405396,186985.0938,522.631348,LACS,122.753922,-46.282162,-8.841301,2.671013,110.030571,192.037384,0.457853,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342547901683,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,8,121.197639,-59.332371,-6.093445,262.601937,267.511399,121.494713,-56.655605,-6.163606,268.119473,267.511399,121.92083,-52.899734,-6.468995,275.874484,267.935464,122.550049,-47.634193,-7.606339,286.791633,269.983161,123.061462,-43.352352,-8.525433,295.668893,271.636469,123.602524,-39.038403,-10.026967,304.649242,274.481536,123.980766,-36.34893,-11.875054,310.305792,278.123969,124.223373,-34.995739,-13.970538,313.225831,282.345101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,940.523193,1087.506714,10.163614,1636.341919,184342.5469,473.839203,LACS,121.174271,-46.86227,-8.720362,2.805237,115.838089,199.769119,0.476287,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342547941687,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,8,119.551888,-60.655495,-6.317588,259.549912,267.913596,119.774933,-58.505699,-6.027489,263.959256,267.203698,120.304016,-53.890026,-6.5235,273.497216,267.972169,120.95401,-48.34341,-7.4361,284.979007,269.544257,121.516586,-43.664024,-8.522634,294.685655,271.519326,122.068741,-39.1348,-9.744349,304.091631,273.779446,122.492409,-36.070614,-11.688014,310.526025,277.597598,122.731598,-34.63409,-13.503261,313.599914,281.240031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,928.4599,1112.915771,25.409035,1631.260132,240471.1094,506.983612,LACS,119.753395,-46.114037,-8.887069,2.871028,118.107117,241.983185,0.576933,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342547981691,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,9,118.133263,-59.897476,-6.510526,260.782281,268.140078,118.425491,-57.186359,-6.388734,266.358392,267.744908,118.816887,-53.701622,-6.583746,273.547982,267.957331,119.268646,-49.791321,-7.082611,281.63334,268.769538,119.796036,-45.343765,-7.952313,290.84876,270.312729,120.261604,-41.486366,-8.888474,298.852899,272.023831,120.65493,-38.376671,-10.044388,305.331027,274.225379,121.051582,-35.573334,-12.024287,311.230458,278.131779,121.372101,-33.669422,-14.508475,315.309452,283.11982,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,1160.684692,1295.86084,50.818069,1692.241821,243743.7969,383.877655,LACS,118.12088,-47.115723,-8.619549,2.892199,119.419685,211.400177,0.504017,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548021695,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,9,116.534874,-60.731682,-6.59389,258.728334,268.227545,116.846626,-57.908333,-6.632448,264.545766,268.154915,117.211174,-54.723125,-6.962152,271.126981,268.659421,117.611801,-51.198483,-7.265308,278.405601,269.091296,118.031998,-47.496033,-7.569297,286.050494,269.515362,118.57785,-42.854691,-8.376239,295.661083,270.919541,119.042992,-39.031437,-9.386582,303.599621,272.784493,119.423004,-36.281353,-11.125735,309.374097,276.200446,119.807564,-33.816391,-13.664275,314.612048,281.269708,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,783.679565,874.070801,5.081807,1722.732666,368329.4063,588.834167,LACS,116.962097,-44.407669,-9.831666,3.342968,134.931885,420.004639,1.001369,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548061699,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,10,115.061432,-60.534164,-6.936797,258.815805,268.791405,115.425598,-57.202267,-6.899116,265.675824,268.535246,115.832718,-53.590168,-7.132912,273.130162,268.8203,116.296753,-49.469578,-7.3907,281.63334,269.127221,116.769974,-45.367283,-7.898023,290.11465,269.946456,117.231354,-41.475624,-8.657107,298.178143,271.292843,117.72155,-37.47863,-9.800459,306.482954,273.420981,118.135201,-34.503361,-11.738368,312.73382,277.232104,118.443077,-32.824642,-14.491822,316.366102,282.784005,118.703339,-31.630978,-17.371309,319.007335,288.620177,,,,,,,,,,,,,,,,,,,,
52,0,746.356506,726.698425,0,1687.159912,419452.3438,597.29187,LACS,115.288971,-45.886688,-9.827087,3.729542,149.559311,554.394531,1.32178,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548101703,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,12,113.327103,-62.893459,-7.722633,253.665322,270.400199,113.538925,-60.746807,-7.190048,258.052796,269.193602,113.82534,-58.142929,-7.201123,263.416486,269.076459,114.225174,-54.537312,-7.288393,270.848176,269.061619,114.689484,-50.470192,-7.683183,279.249916,269.652144,115.116356,-46.683662,-7.930309,287.064353,269.955137,115.391388,-44.257198,-8.121918,292.074099,270.217452,115.883667,-40.19244,-9.145844,300.510894,272.097241,116.370995,-36.173641,-10.172007,308.853192,273.984059,116.735626,-33.624161,-12.059496,314.223907,277.714743,117.033592,-32.177567,-15.160181,317.400104,283.9906,117.329979,-30.740892,-18.249941,320.555213,290.24459,,,,,,,,,,
56,0,654.394592,365.890106,5.081807,1732.89624,467892.125,599.68396,LACS,113.787415,-45.92086,-10.110588,3.911628,155.006088,673.042236,1.604658,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548151707,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,12,111.779869,-63.582344,-8.590365,251.960469,272.087088,111.956718,-61.631569,-7.757653,255.925443,270.276024,112.266174,-58.706055,-7.495125,261.934209,269.580964,112.673004,-55.024433,-7.552366,269.520528,269.500523,113.125122,-51.018436,-7.825067,277.788636,269.844149,113.59095,-46.790905,-7.861171,286.497989,269.691079,113.900894,-44.042912,-8.043738,292.169376,269.917559,114.441299,-39.582062,-9.171041,301.428531,271.987906,114.944252,-35.501854,-10.395077,309.909841,274.276923,115.317924,-32.893894,-12.340887,315.404731,278.123969,115.579704,-31.724319,-15.313124,318.00223,284.151479,115.873062,-30.551554,-18.981379,320.650491,291.605036,,,,,,,,,,
60,0,736.572693,696.207581,5.081807,1778.632446,413953.8438,609.913818,LACS,112.255287,-46.037964,-9.915686,3.751061,150.675095,555.77124,1.325062,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548231711,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,12,110.248672,-63.912392,-8.937346,250.96161,272.687653,110.553734,-60.915924,-8.403027,257.099237,271.431857,110.873962,-57.751934,-7.796875,263.577363,270.019868,111.207649,-54.686108,-7.730877,269.887586,269.719975,111.634125,-50.830425,-7.799934,277.83315,269.654374,112.00473,-47.488132,-7.880287,284.722068,269.639535,112.387756,-43.994488,-7.867055,291.916793,269.424788,112.75367,-40.982365,-8.650715,298.170333,270.868779,113.286903,-36.754856,-10.189241,306.974964,273.794284,113.775124,-33.00658,-11.897383,314.803386,277.093093,114.08445,-31.421612,-14.912513,318.259168,283.186203,114.252701,-30.710789,-16.922949,319.850781,287.267541,,,,,,,,,,
