ImageNo,RoiNo,RoiMean,RoiMedian,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,9011.010742,5296.114258,819.900513,23090.17188,3919789.5,6757.450684,LACS,120.785248,-43.037601,-9.774261,3.035786,137.753372,391.602966,0.749553,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144552386,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,9,118.897331,-58.535988,-5.62654,165.873494,172.964453,119.315239,-54.838089,-5.890779,174.392449,173.347069,119.837639,-50.345131,-6.538065,184.766137,174.55805,120.422356,-45.419144,-7.514593,196.15854,176.496002,120.996452,-40.689602,-8.735258,207.116674,179.004052,121.454933,-37.148315,-10.286991,215.36684,182.340468,121.80722,-34.761345,-12.297008,220.996083,186.794123,122.063469,-33.294987,-14.419662,224.517111,191.560567,122.272583,-32.30579,-16.659475,226.949595,196.623538,,,,,,,,,,,,,,,,,,,,
8,0,7681.996582,3900.067383,199.435257,22779.93945,4824294,6925.053223,LACS,118.742043,-43.38501,-9.973913,3.523386,158.347168,606.386108,1.160661,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144562387,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,10,116.657089,-60.844376,-6.233747,160.102681,174.300741,117.027016,-57.378628,-5.996669,168.052495,173.550812,117.504395,-53.164124,-6.322129,177.763299,174.042475,118.152,-47.627304,-7.205496,190.553209,175.730768,118.69471,-43.034214,-8.060364,201.171771,177.410455,119.169754,-39.107376,-9.037885,210.26752,179.410583,119.561478,-36.137154,-10.499361,217.198616,182.574821,119.921097,-33.740772,-12.649747,222.859425,187.348917,120.233887,-31.996847,-15.353272,227.059635,193.427127,120.499016,-30.819288,-18.380447,229.980874,200.279438,,,,,,,,,,,,,,,
9,0,8510.948242,5562.027832,332.39209,23799.27539,5293810,7226.688477,LACS,116.68177,-43.736904,-9.804133,3.459309,155.648315,579.175781,1.108579,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144572388,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,10,114.71328,-60.364227,-6.62335,160.726346,174.972233,115.065063,-57.059189,-6.375368,168.305977,174.206999,115.479568,-53.314667,-6.449677,176.918673,174.152477,115.9776,-49.003887,-6.999758,186.8667,175.152062,116.479507,-44.73695,-7.743598,196.727682,176.597395,117.025291,-40.14254,-8.663748,207.353896,178.426302,117.476952,-36.596191,-10.051238,215.604062,181.386796,117.897987,-33.643696,-12.209501,222.543767,186.145588,118.209412,-31.950975,-15.007738,226.632981,192.443454,118.49305,-30.556725,-17.917356,230.044005,199.013934,,,,,,,,,,,,,,,
10,0,7788.942871,3634.153564,88.637894,24530.53711,6153265,7249.565918,LACS,114.708641,-43.5345,-10.220045,3.719323,165.791687,739.0578,1.414603,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144582389,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,112.672455,-60.826035,-7.155989,159.194924,176.027297,112.961784,-58.039444,-6.784827,165.574097,175.01145,113.321358,-54.744236,-6.734431,173.145119,174.698662,113.69445,-51.462677,-7.018703,180.708489,175.152062,114.030716,-48.514267,-7.297586,187.505669,175.613115,114.491852,-44.480782,-7.704045,196.806118,176.300868,114.920044,-40.868397,-8.406889,205.159591,177.691678,115.410591,-36.857212,-9.523395,214.459082,180.004595,115.771378,-34.298317,-11.302014,220.467116,183.91876,116.125992,-32.158367,-13.968508,225.575045,189.888533,116.442436,-30.580544,-17.159828,229.427992,197.092243,116.660675,-29.583727,-19.584301,231.891085,202.577049,,,,,
11,0,7328.839355,3080.166748,155.116318,24020.86914,6090265.5,6905.77002,LACS,112.546951,-44.797916,-10.020562,3.870481,171.692078,831.154358,1.590881,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144592390,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,11,110.510651,-62.615097,-8.240533,154.651669,178.424086,110.842323,-59.230453,-7.349381,162.368729,176.183213,111.180016,-56.045467,-7.081105,169.670964,175.378761,111.630608,-52.059959,-7.370024,178.852799,175.800596,112.040543,-48.374596,-7.487119,187.332535,175.847468,112.485291,-44.403198,-7.680302,196.475155,176.05121,113.012047,-39.96209,-8.551683,206.745536,177.777767,113.477898,-36.329514,-10.044325,215.201358,180.973571,113.962029,-32.881546,-12.396266,223.293696,186.145588,114.264725,-31.148592,-14.901519,227.45465,191.771006,114.610321,-29.726549,-19.123962,231.022547,201.342155,,,,,,,,,,
12,0,6375.130859,2215.947266,310.232635,24331.10156,6795889.5,6732.42627,LACS,110.375389,-46.180069,-9.891835,4.140534,181.874817,1013.596619,1.940087,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144602391,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,108.328094,-64.712173,-9.616352,149.421036,181.505457,108.565056,-62.024418,-8.31988,155.507458,178.379431,108.888458,-58.780209,-7.588043,162.912999,176.511307,109.244568,-55.415375,-7.290179,170.626546,175.62842,109.678879,-51.569889,-7.5587,179.485074,176.011993,110.108765,-47.613552,-7.45745,188.572213,175.543287,110.489922,-44.185867,-7.564022,196.458893,175.581549,110.980606,-40.051907,-8.383016,206.019521,177.206712,111.48333,-36.067768,-9.837193,215.280751,180.29347,111.881577,-33.183849,-11.655285,222.038714,184.27842,112.253448,-30.911787,-14.382955,227.45465,190.380195,112.601997,-29.644066,-19.048904,230.699237,200.974843,,,,,
13,0,7234.823242,2792.09375,221.594727,25239.64063,6880317,7050.364746,LACS,108.620728,-43.918972,-10.138428,3.87263,169.887894,900.332825,1.723293,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144602392,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,106.601982,-62.027298,-9.462251,155.074147,180.801394,106.887665,-59.111973,-8.694604,161.72115,178.871094,107.142822,-56.437263,-7.83574,167.808575,176.746615,107.553444,-52.530079,-7.42536,176.760844,175.573896,107.943069,-48.799927,-6.980221,185.303712,174.332306,108.358864,-45.011803,-6.976621,194.011105,174.096996,108.826118,-41.090427,-7.793805,203.08294,175.730768,109.263031,-37.60379,-8.998619,211.18293,178.277082,109.750191,-33.875877,-10.733006,219.875018,182.020026,110.131432,-31.276377,-12.868219,226.001664,186.747252,110.397736,-29.876896,-15.37853,229.396428,192.404236,110.592339,-29.385944,-18.514179,230.747063,199.545771,,,,,
14,0,6612.249023,2592.658447,155.116318,23356.08594,6817228.5,6802.699707,LACS,106.750412,-42.72163,-10.410963,3.912784,169.583572,996.523865,1.907409,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144612393,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,11,104.688751,-61.380848,-10.12641,156.099557,182.090811,105.04081,-57.596687,-8.711895,164.697907,178.629088,105.48011,-53.116264,-7.537726,174.913764,175.675289,105.87558,-49.171719,-6.698341,183.921511,173.519247,106.222061,-45.918545,-6.459042,191.382531,172.77697,106.703407,-41.799709,-7.106984,200.896287,174.011866,107.23774,-37.594212,-8.723806,210.677876,177.457326,107.75724,-33.693638,-10.75635,219.787972,181.871762,108.160957,-30.977163,-13.106264,226.19871,187.082998,108.468735,-29.459515,-16.251677,229.91009,194.185315,108.619171,-29.22966,-19.042101,230.636103,200.553009,,,,,,,,,,
15,0,7059.870605,2880.731445,110.797363,25283.95898,7490522.5,6999.103027,LACS,104.706696,-42.802296,-9.946369,3.880627,166.54364,1040.880127,1.99231,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144622394,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,102.800713,-60.38855,-10.505598,157.899769,182.707779,103.080399,-57.331047,-9.256489,164.839474,179.667892,103.334648,-54.328918,-7.57595,171.62135,175.64468,103.623253,-51.133114,-6.187,178.869061,172.276699,104.007439,-47.302612,-5.375164,187.616628,170.190483,104.374237,-44.072182,-5.644291,195.061387,170.612318,104.838722,-40.360733,-6.913553,203.682691,173.292545,105.326385,-36.603493,-8.587231,212.437912,176.894879,105.837776,-32.963799,-11.077628,220.980778,182.372033,106.2248,-30.524767,-13.734392,226.775504,188.301631,106.421623,-29.593945,-15.843008,229.064507,193.068075,106.610374,-29.024405,-18.656141,230.572972,199.467335,,,,,
16,0,6587.164551,2481.861084,199.435257,25837.94531,6844064,6840.603516,LACS,102.696281,-42.656181,-9.668897,3.835515,162.955215,1035.679688,1.982356,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144632395,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,100.907776,-59.277397,-10.484693,159.944852,182.402643,101.187874,-56.350273,-9.563848,166.608117,180.121292,101.414635,-53.662125,-8.039042,172.679284,176.473045,101.652382,-50.785007,-6.296666,179.169415,172.315918,101.998535,-47.052719,-4.87744,187.648194,168.846544,102.375359,-43.696068,-5.061209,195.377046,169.065592,102.793388,-40.392082,-6.292188,203.059027,171.682688,103.224365,-37.079258,-7.790253,210.780226,174.910057,103.729156,-33.475609,-10.221564,219.236048,180.254252,104.082336,-31.286425,-12.735426,224.446328,185.872017,104.391342,-29.770145,-15.911749,228.15675,193.045118,104.598206,-29.047073,-18.752745,230.020093,199.4989,,,,,
